Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1458_Lpaw,start,568.855,568.855,NA,,
1458_Lpaw,lick,572.855,575.356,2.501,4000,6501
1458_Lpaw,lick,576.605,580.355,3.75,7750,11500
1458_Lpaw,lick,581.852,582.606,0.754,12997,13751
1458_Lpaw,lick,584.355,586.355,2,15500,17500
1458_Lpaw,lick,588.854,594.857,6.003,19999,26002
1458_Lpaw,lick,596.355,597.867,1.512,27500,29012
1458_Lpaw,lick,600.855,601.355,0.5,32000,32500
1458_Lpaw,lick,602.856,603.355,0.499,34001,34500
1458_Lpaw,lick,606.203,607.707,1.504,37348,38852
1458_Lpaw,lick,614.203,620.954,6.751,45348,52099
1458_Lpaw,lick,622.456,626.453,3.997,53601,57598
1458_Lpaw,lick,628.602,630.355,1.753,59747,61500
1458_Lpaw,lick,631.352,631.854,0.502,62497,62999
1458_Lpaw,lick,633.105,633.355,0.25,64250,64500
1458_Lpaw,lick,636.855,638.855,2,68000,70000
1458_Lpaw,lick,644.855,647.355,2.5,76000,78500
1458_Lpaw,lick,648.855,649.855,1,80000,81000
1458_Lpaw,lick,651.855,653.855,2,83000,85000
1458_Lpaw,lick,679.352,680.105,0.753,110497,111250
1458_Lpaw,lick,724.953,726.455,1.502,156098,157600
1458_Lpaw,lick,755.955,757.455,1.5,187100,188600
1458_Lpaw,lick,909.801,911.302,1.501,340946,342447
1458_Lpaw,lick,970.357,973.358,3.001,401502,404503
1458_Lpaw,lick,974.352,979.357,5.005,405497,410502
1458_Lpaw,lick,1074.008,1078.508,4.5,505153,509653
1458_Lpaw,lick,1513.508,1523.507,9.999,944653,954652
1458_Lpaw,lick,1527.113,1531.107,3.994,958258,962252
1458_Lpaw,lick,1539.612,1544.109,4.497,970757,975254
1458_Lpaw,lick,1550.293,1551.287,0.994,981438,982432
1458_Lpaw,lick,1558.789,1560.791,2.002,989934,991936
1458_Lpaw,lick,1659.793,1660.293,0.5,1090938,1091438
1458_Lpaw,lick,2691.939,2693.441,1.502,2123084,2124586
1458_Lpaw,lick,3397.693,3403.187,5.494,2828838,2834332
1458_Lpaw,lick,3449.938,3458.943,9.005,2881083,2890088
1458_Lpaw,lick,3459.443,3459.943,0.5,2890588,2891088
1458_Lpaw,lick,3525.394,3541.891,16.497,2956539,2973036
1458_Lpaw,lick,3967.393,3968.393,1,3398538,3399538
1458_Lpaw,lick,3979.743,3981.743,2,3410888,3412888
1458_Lpaw,end,4178.243,4178.243,NA,3609388,3609388
