Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1459_Rpaw,start,377.255,377.255,NA,,
1459_Rpaw,lick,389.756,390.256,0.5,12501,13001
1459_Rpaw,lick,391.26,392.756,1.496,14005,15501
1459_Rpaw,lick,397.256,399.757,2.501,20001,22502
1459_Rpaw,lick,400.756,402.256,1.5,23501,25001
1459_Rpaw,lick,404.756,407.756,3,27501,30501
1459_Rpaw,lick,408.756,411.254,2.498,31501,33999
1459_Rpaw,lick,412.256,413.754,1.498,35001,36499
1459_Rpaw,lick,414.752,419.756,5.004,37497,42501
1459_Rpaw,lick,421.256,429.256,8,44001,52001
1459_Rpaw,lick,431.256,433.256,2,54001,56001
1459_Rpaw,lick,434.756,435.75,0.994,57501,58495
1459_Rpaw,lick,436.256,438.254,1.998,59001,60999
1459_Rpaw,lick,439.256,441.255,1.999,62001,64000
1459_Rpaw,lick,450.756,452.256,1.5,73501,75001
1459_Rpaw,lick,455.757,459.756,3.999,78502,82501
1459_Rpaw,lick,461.254,466.755,5.501,83999,89500
1459_Rpaw,lick,470.256,471.756,1.5,93001,94501
1459_Rpaw,lick,474.254,482.256,8.002,96999,105001
1459_Rpaw,lick,483.756,485.753,1.997,106501,108498
1459_Rpaw,lick,506.756,509.756,3,129501,132501
1459_Rpaw,lick,510.256,515.755,5.499,133001,138500
1459_Rpaw,lick,518.756,520.252,1.496,141501,142997
1459_Rpaw,lick,522.756,524.256,1.5,145501,147001
1459_Rpaw,lick,707.257,708.757,1.5,330002,331502
1459_Rpaw,lick,709.757,716.757,7,332502,339502
1459_Rpaw,lick,742.257,744.757,2.5,365002,367502
1459_Rpaw,lick,745.257,749.257,4,368002,372002
1459_Rpaw,lick,886.5,887,0.5,509245,509745
1459_Rpaw,lick,1171.758,1183.253,11.495,794503,805998
1459_Rpaw,lick,1183.758,1189.255,5.497,806503,812000
1459_Rpaw,lick,1193.258,1194.258,1,816003,817003
1459_Rpaw,lick,1200.754,1201.253,0.499,823499,823998
1459_Rpaw,lick,1296.258,1330.758,34.5,919003,953503
1459_Rpaw,lick,1353.255,1383.758,30.503,976000,1006503
1459_Rpaw,lick,1388.254,1395.758,7.504,1010999,1018503
1459_Rpaw,lick,1398.258,1401.258,3,1021003,1024003
1459_Rpaw,lick,1470.003,1475.508,5.505,1092748,1098253
1459_Rpaw,lick,1476.008,1477.008,1,1098753,1099753
1459_Rpaw,lick,1478.508,1480.508,2,1101253,1103253
1459_Rpaw,lick,1583.21,1588.711,5.501,1205955,1211456
1459_Rpaw,lick,1594.211,1596.711,2.5,1216956,1219456
1459_Rpaw,lick,1609.211,1610.211,1,1231956,1232956
1459_Rpaw,lick,1615.211,1626.208,10.997,1237956,1248953
1459_Rpaw,lick,1629.709,1633.711,4.002,1252454,1256456
1459_Rpaw,lick,1666.403,1669.409,3.006,1289148,1292154
1459_Rpaw,lick,1670.409,1671.409,1,1293154,1294154
1459_Rpaw,lick,1672.909,1673.913,1.004,1295654,1296658
1459_Rpaw,lick,1703.536,1727.036,23.5,1326281,1349781
1459_Rpaw,lick,1802.536,1803.536,1,1425281,1426281
1459_Rpaw,lick,1805.032,1809.531,4.499,1427777,1432276
1459_Rpaw,lick,1810.537,1837.536,26.999,1433282,1460281
1459_Rpaw,lick,1854.536,1880.533,25.997,1477281,1503278
1459_Rpaw,lick,1896.036,1907.535,11.499,1518781,1530280
1459_Rpaw,lick,1908.536,1918.534,9.998,1531281,1541279
1459_Rpaw,lick,1953.087,2001.089,48.002,1575832,1623834
1459_Rpaw,lick,2041.486,2063.987,22.501,1664231,1686732
1459_Rpaw,lick,2249.986,2315.487,65.501,1872731,1938232
1459_Rpaw,lick,2321.335,2327.842,6.507,1944080,1950587
1459_Rpaw,lick,2366.842,2423.839,56.997,1989587,2046584
1459_Rpaw,lick,2438.842,2448.342,9.5,2061587,2071087
1459_Rpaw,lick,2464.842,2494.84,29.998,2087587,2117585
1459_Rpaw,lick,2498.838,2505.342,6.504,2121583,2128087
1459_Rpaw,lick,2516.837,2524.339,7.502,2139582,2147084
1459_Rpaw,lick,2525.34,2542.842,17.502,2148085,2165587
1459_Rpaw,end,3983.831,3983.831,NA,3606576,3606576
