Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1461_Rpaw,start,441.662,441.662,NA,0.000,0.000
1461_Rpaw,lick,455.155,457.658,2.503,13493.000,15996.000
1461_Rpaw,lick,459.159,459.658,0.499,17497.000,17996.000
1461_Rpaw,lick,462.155,463.158,1.003,20493.000,21496.000
1461_Rpaw,lick,465.659,466.158,0.499,23997.000,24496.000
1461_Rpaw,lick,478.606,483.605,4.999,36944.000,41943.000
1461_Rpaw,lick,486.604,487.605,1.001,44942.000,45943.000
1461_Rpaw,lick,495.102,496.106,1.004,53440.000,54444.000
1461_Rpaw,lick,500.600,503.101,2.501,58938.000,61439.000
1461_Rpaw,lick,509.606,512.106,2.500,67944.000,70444.000
1461_Rpaw,lick,513.100,519.105,6.005,71438.000,77443.000
1461_Rpaw,lick,520.603,527.606,7.003,78941.000,85944.000
1461_Rpaw,lick,538.039,540.532,2.493,96377.000,98870.000
1461_Rpaw,lick,570.034,571.539,1.505,128372.000,129877.000
1461_Rpaw,lick,609.139,611.634,2.495,167477.000,169972.000
1461_Rpaw,lick,616.132,618.638,2.506,174470.000,176976.000
1461_Rpaw,lick,621.139,622.639,1.500,179477.000,180977.000
1461_Rpaw,lick,624.139,625.636,1.497,182477.000,183974.000
1461_Rpaw,lick,627.639,628.638,0.999,185977.000,186976.000
1461_Rpaw,lick,629.138,630.639,1.501,187476.000,188977.000
1461_Rpaw,lick,768.138,772.639,4.501,326476.000,330977.000
1461_Rpaw,lick,773.639,775.134,1.495,331977.000,333472.000
1461_Rpaw,lick,778.638,780.635,1.997,336976.000,338973.000
1461_Rpaw,lick,791.632,792.635,1.003,349970.000,350973.000
1461_Rpaw,lick,795.145,796.139,0.994,353483.000,354477.000
1461_Rpaw,lick,887.639,893.632,5.993,445977.000,451970.000
1461_Rpaw,lick,1057.136,1068.136,11.000,615474.000,626474.000
1461_Rpaw,lick,1071.131,1072.138,1.007,629469.000,630476.000
1461_Rpaw,lick,1241.133,1242.138,1.005,799471.000,800476.000
1461_Rpaw,lick,1425.137,1425.633,0.496,983475.000,983971.000
1461_Rpaw,lick,2287.889,2288.889,1.000,1846227.000,1847227.000
1461_Rpaw,lick,2475.182,2489.179,13.997,2033520.000,2047517.000
1461_Rpaw,lick,2490.683,2503.681,12.998,2049021.000,2062019.000
1461_Rpaw,lick,2529.431,2533.427,3.996,2087769.000,2091765.000
1461_Rpaw,lick,2538.431,2540.429,1.998,2096769.000,2098767.000
1461_Rpaw,lick,2551.427,2553.433,2.006,2109765.000,2111771.000
1461_Rpaw,lick,2703.683,2717.679,13.996,2262021.000,2276017.000
1461_Rpaw,lick,2720.183,2722.683,2.500,2278521.000,2281021.000
1461_Rpaw,lick,2727.183,2728.177,0.994,2285521.000,2286515.000
1461_Rpaw,lick,2730.183,2731.681,1.498,2288521.000,2290019.000
1461_Rpaw,lick,2745.583,2763.579,17.996,2303921.000,2321917.000
1461_Rpaw,lick,2767.083,2773.583,6.500,2325421.000,2331921.000
1461_Rpaw,lick,2779.081,2779.582,0.501,2337419.000,2337920.000
1461_Rpaw,lick,2802.083,2803.083,1.000,2360421.000,2361421.000
1461_Rpaw,lick,2806.577,2809.580,3.003,2364915.000,2367918.000
1461_Rpaw,lick,2831.083,2850.578,19.495,2389421.000,2408916.000
1461_Rpaw,lick,2881.076,2882.084,1.008,2439414.000,2440422.000
1461_Rpaw,lick,2890.083,2892.078,1.995,2448421.000,2450416.000
1461_Rpaw,lick,2902.083,2903.583,1.500,2460421.000,2461921.000
1461_Rpaw,lick,2959.084,2964.083,4.999,2517422.000,2522421.000
1461_Rpaw,lick,2967.083,2968.083,1.000,2525421.000,2526421.000
1461_Rpaw,lick,2973.583,2975.576,1.993,2531921.000,2533914.000
1461_Rpaw,lick,2979.577,2984.580,5.003,2537915.000,2542918.000
1461_Rpaw,lick,2989.583,2998.583,9.000,2547921.000,2556921.000
1461_Rpaw,lick,3001.083,3003.580,2.497,2559421.000,2561918.000
1461_Rpaw,lick,3046.080,3047.583,1.503,2604418.000,2605921.000
1461_Rpaw,lick,3049.076,3076.582,27.506,2607414.000,2634920.000
1461_Rpaw,lick,3079.077,3081.583,2.506,2637415.000,2639921.000
1461_Rpaw,lick,3099.083,3102.083,3.000,2657421.000,2660421.000
1461_Rpaw,lick,3115.583,3120.577,4.994,2673921.000,2678915.000
1461_Rpaw,lick,3139.583,3143.083,3.500,2697921.000,2701421.000
1461_Rpaw,lick,3152.577,3153.078,0.501,2710915.000,2711416.000
1461_Rpaw,lick,3171.079,3171.576,0.497,2729417.000,2729914.000
1461_Rpaw,lick,3175.580,3189.582,14.002,2733918.000,2747920.000
1461_Rpaw,lick,3229.577,3231.083,1.506,2787915.000,2789421.000
1461_Rpaw,lick,3237.083,3239.083,2.000,2795421.000,2797421.000
1461_Rpaw,lick,3256.077,3257.083,1.006,2814415.000,2815421.000
1461_Rpaw,lick,3264.576,3265.081,0.505,2822914.000,2823419.000
1461_Rpaw,lick,3276.079,3276.583,0.504,2834417.000,2834921.000
1461_Rpaw,lick,3280.081,3282.582,2.501,2838419.000,2840920.000
1461_Rpaw,lick,3289.582,3290.082,0.500,2847920.000,2848420.000
1461_Rpaw,lick,3309.593,3310.083,0.490,2867931.000,2868421.000
1461_Rpaw,lick,3314.583,3315.577,0.994,2872921.000,2873915.000
1461_Rpaw,lick,3539.485,3541.491,2.006,3097823.000,3099829.000
1461_Rpaw,lick,3651.991,3653.991,2.000,3210329.000,3212329.000
1461_Rpaw,lick,3655.992,3660.990,4.998,3214330.000,3219328.000
1461_Rpaw,lick,3666.991,3674.491,7.500,3225329.000,3232829.000
1461_Rpaw,lick,3676.992,3690.491,13.499,3235330.000,3248829.000
1461_Rpaw,lick,3690.986,3696.490,5.504,3249324.000,3254828.000
1461_Rpaw,lick,3717.491,3731.989,14.498,3275829.000,3290327.000
1461_Rpaw,lick,3737.488,3763.492,26.004,3295826.000,3321830.000
1461_Rpaw,lick,3785.484,3805.487,20.003,3343822.000,3363825.000
1461_Rpaw,lick,3828.991,3829.991,1.000,3387329.000,3388329.000
1461_Rpaw,lick,3882.985,3885.491,2.506,3441323.000,3443829.000
1461_Rpaw,end,4043.992,4043.992,NA,3602330.000,3602330.000
