Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1484_Rpaw,start,568.505,568.505,NA,0.000,0.000
1484_Rpaw,lick,579.257,582.007,2.750,10752.000,13502.000
1484_Rpaw,lick,583.505,585.755,2.250,15000.000,17250.000
1484_Rpaw,lick,587.755,589.755,2.000,19250.000,21250.000
1484_Rpaw,lick,591.505,592.757,1.252,23000.000,24252.000
1484_Rpaw,lick,593.256,596.503,3.247,24751.000,27998.000
1484_Rpaw,lick,597.257,598.256,0.999,28752.000,29751.000
1484_Rpaw,lick,598.756,600.755,1.999,30251.000,32250.000
1484_Rpaw,lick,602.256,603.756,1.500,33751.000,35251.000
1484_Rpaw,lick,607.254,609.504,2.250,38749.000,40999.000
1484_Rpaw,lick,610.005,611.755,1.750,41500.000,43250.000
1484_Rpaw,lick,612.504,613.257,0.753,43999.000,44752.000
1484_Rpaw,lick,615.251,618.504,3.253,46746.000,49999.000
1484_Rpaw,lick,623.256,624.257,1.001,54751.000,55752.000
1484_Rpaw,lick,626.504,628.004,1.500,57999.000,59499.000
1484_Rpaw,lick,630.605,631.605,1.000,62100.000,63100.000
1484_Rpaw,lick,636.105,636.605,0.500,67600.000,68100.000
1484_Rpaw,lick,637.855,640.105,2.250,69350.000,71600.000
1484_Rpaw,lick,641.854,642.605,0.751,73349.000,74100.000
1484_Rpaw,lick,645.855,649.105,3.250,77350.000,80600.000
1484_Rpaw,lick,652.105,654.605,2.500,83600.000,86100.000
1484_Rpaw,lick,679.105,684.105,5.000,110600.000,115600.000
1484_Rpaw,lick,685.605,688.355,2.750,117100.000,119850.000
1484_Rpaw,lick,706.851,709.105,2.254,138346.000,140600.000
1484_Rpaw,lick,756.856,763.857,7.001,188351.000,195352.000
1484_Rpaw,lick,946.956,949.958,3.002,378451.000,381453.000
1484_Rpaw,lick,1026.455,1027.458,1.003,457950.000,458953.000
1484_Rpaw,lick,1028.458,1030.458,2.000,459953.000,461953.000
1484_Rpaw,lick,1162.958,1169.958,7.000,594453.000,601453.000
1484_Rpaw,lick,1374.689,1375.191,0.502,806184.000,806686.000
1484_Rpaw,lick,1438.689,1440.191,1.502,870184.000,871686.000
1484_Rpaw,lick,1519.439,1520.439,1.000,950934.000,951934.000
1484_Rpaw,lick,1546.436,1547.939,1.503,977931.000,979434.000
1484_Rpaw,lick,1548.439,1549.434,0.995,979934.000,980929.000
1484_Rpaw,lick,1710.439,1711.439,1.000,1141934.000,1142934.000
1484_Rpaw,lick,1957.439,1957.939,0.500,1388934.000,1389434.000
1484_Rpaw,lick,2080.739,2086.239,5.500,1512234.000,1517734.000
1484_Rpaw,lick,2138.739,2142.239,3.500,1570234.000,1573734.000
1484_Rpaw,lick,2553.458,2555.453,1.995,1984953.000,1986948.000
1484_Rpaw,lick,2608.451,2608.958,0.507,2039946.000,2040453.000
1484_Rpaw,lick,2808.458,2809.458,1.000,2239953.000,2240953.000
1484_Rpaw,lick,2811.454,2813.958,2.504,2242949.000,2245453.000
1484_Rpaw,lick,3092.958,3096.456,3.498,2524453.000,2527951.000
1484_Rpaw,lick,3835.458,3848.458,13.000,3266953.000,3279953.000
1484_Rpaw,lick,3883.954,3895.458,11.504,3315449.000,3326953.000
1484_Rpaw,lick,4001.458,4007.458,6.000,3432953.000,3438953.000
1484_Rpaw,lick,4010.958,4022.955,11.997,3442453.000,3454450.000
1484_Rpaw,lick,4049.955,4056.458,6.503,3481450.000,3487953.000
1484_Rpaw,lick,4076.489,4083.989,7.500,3507984.000,3515484.000
1484_Rpaw,end,4174.489,4174.489,NA,3605984.000,3605984.000
