start,end
311971,317187
317187,370903
374288,378240
378240,378780
378780,414268
415923,436654
437155,438341
447266,448561
450335,480439
489215,491279
492000,493485
501305,501905
503595,504325
504667,506129
506952,508198
508554,509023
515799,516780
517135,518138
519727,520478
520631,520850
549726,551695
553167,594636
600757,603584
604090,604627
609399,610478
611136,614702
618405,626425
627648,628178
634650,642246
702235,703114
726380,726688
738779,741693
750361,750493
758666,761098
776805,778287
1161385,1163020
1176040,1177091
1258658,1262709
1262908,1273312
1299121,1301260
1304250,1310630
1458499,1458565
1474919,1475564
1522021,1522402
1522402,1525583
1528324,1533834
1540458,1542855
1547026,1550797
1555167,1579516
1584260,1586039
1684774,1687255
1689444,1691148
1692867,1699805
1750213,1777326
1780337,1781779
1782166,1804789
1806142,1812422
1813662,1814679
1822867,1827414
1831970,1833331
1833737,1834873
1835411,1839928
1841367,1841846
1863753,1866819
1868524,1870205
1871560,1874063
1906955,1921868
1932452,1933928
1934353,1934890
1940397,1942560
1944133,1948366
1980655,1985238
1994127,1994689
2013381,2016530
2029122,2040155
2043294,2058314
2058619,2079418
2100923,2108483
2108791,2123971
2127643,2129942
2133846,2141089
2142758,2148913
2151670,2152847
2178094,2183056
2186462,2215661
2218984,2226595
2234296,2236926
2238572,2240588
2241778,2242741
2244797,2247027
2258566,2258828
2276113,2279001
2279435,2283472
2287461,2288614
2296822,2297150
2356519,2368522
2368926,2369577
2370234,2372714
2381969,2388902
2494236,2497469
2498753,2500889
2507794,2510673
2520326,2533770
2538841,2540905
2541156,2546438
2546854,2547157
2602020,2623690
2624423,2625737
2636095,2654407
2654922,2655593
2657167,2658869
2661495,2662043
2668001,2676064
2677119,2677619
2804882,2806020
2815928,2819907
2862785,2888701
2889155,2890704
2891444,2912915
2914768,2915115
2920373,2923419
2975720,2976993
2980444,2982045
2983784,2984561
2985213,3000311
3005800,3009363
3019984,3074331
3074988,3075019
3076126,3088593
