start,end
21736,22524
28964,29711
42017,46819
47988,49047
49607,50440
53094,60525
82497,85670
87448,91410
94546,96378
113087,115241
116402,120415
122598,123372
166680,167659
172429,174446
320350,341417
341417,358048
358048,358048
361187,364765
364765,385519
385519,393835
393835,405814
406315,407549
407816,407816
409102,418808
423256,424030
424030,424676
424676,426644
567176,569432
791064,791432
862255,864185
953713,955592
1455341,1460701
1463704,1464753
1508075,1511658
1511658,1511987
1511987,1515850
1530687,1544050
1544050,1557062
1561658,1561704
1561704,1564985
1567495,1567671
1567671,1574149
1574149,1575288
1575288,1576062
1576062,1581822
1581822,1588563
1588563,1601747
1603114,1610597
1626134,1629868
1788558,1818947
1818947,1826056
1827159,1836295
1836295,1842343
1882546,1884426
1927223,1928109
1965117,1967415
1970804,1976160
1976160,1978559
1980872,1982756
1982756,1984622
1987661,1988905
2007840,2013255
2034526,2037235
2038520,2040022
2052792,2054723
2199227,2199549
2222254,2259448
2263402,2265327
2267179,2272059
2277526,2279884
2313054,2315560
2336402,2337292
2338778,2340680
2348501,2351844
2364680,2365120
2409425,2412384
2426628,2428929
2460255,2470359
2521586,2525702
2653752,2669862
2684879,2688335
2720731,2723196
2741169,2761728
2764720,2771461
2778597,2780089
2785323,2786123
2793564,2836556
2870164,2873613
2887094,2893664
2922320,2935080
3069718,3070150
3214628,3216063
3241347,3267969
3283228,3297267
3406614,3406928
3481682,3506364
3516457,3544614
3547651,3556794
3561652,3570128
