start,end
4644,5356
9597,11011
12794,14054
18713,19558
21074,22286
69492,74015
75047,76210
83796,84175
93316,93992
97898,98944
104956,105903
641226,648165
648640,653013
653592,657983
658643,662918
921410,923320
1297107,1298351
1298594,1300309
1385136,1396526
1397552,1398131
1400349,1404640
1405768,1431496
1434428,1435944
1437024,1437336
1437699,1442174
1450432,1455139
1455649,1456312
1457183,1458462
1458724,1459303
1511379,1534019
1534560,1535408
1549964,1563999
1589033,1596947
1631129,1642706
1647411,1655146
1655839,1657653
1684433,1687620
1737078,1739204
1743578,1745662
2026551,2033928
2037129,2047490
2048166,2052004
2054822,2057304
2058952,2061552
2281680,2315520
2316238,2319490
2324298,2326145
2352117,2383825
2431290,2432450
2432763,2434814
3027028,3043791
3158779,3173429
3174349,3179056
3187292,3195608
3199878,3203083
3207370,3220337
3249135,3252453
