start,end
39800,43000
50203,50753
56427,57227
58255,60677
61755,65254
75351,76427
77454,78800
105526,107099
113178,118427
121853,129778
136654,137977
563951,566651
568652,570602
571756,588557
590503,599203
599975,604703
610624,614955
620105,620876
1272600,1278503
1279299,1286701
1287105,1302454
1303228,1311030
1360777,1361553
1499157,1502278
1511751,1513276
1514854,1528151
1536776,1540676
1542230,1544955
1554056,1570954
1576955,1615828
1665678,1671175
1711226,1753754
1764004,1767524
1771029,1779677
1780453,1782029
1815402,1818550
1821750,1828028
1836151,1838475
1860405,1864304
1890778,1892627
1896879,1898754
1938079,1942702
1993327,2017904
2020024,2025877
2028003,2037454
2038254,2049429
2056050,2062427
2065078,2069028
2074878,2082028
2152286,2156726
2159927,2163350
2206000,2207854
2208402,2236729
2249604,2257753
2272954,2284850
2305604,2307475
2308529,2311152
2366229,2369178
2370224,2372604
2424078,2469551
2683500,2690976
2713801,2729954
2770202,2784055
2786427,2791124
3119552,3157125
3160228,3163350
3169556,3170728
3174649,3184830
3186425,3196650
3198226,3202556
3207304,3211654
3479204,3494904
3496453,3498801
3503103,3505875
3506651,3518027
3528205,3537600
3557704,3559302
