Start (ms),Stop (ms)
19200,21900
23800,29100
32200,33100
34400,39600
40200,47300
48400,56300
57100,59500
60400,65100
65700,68600
70700,73000
76400,78400
81900,83800
161300,162500
2392500,2394100
2428200,2431700
2451900,2455100
2455700,2462600
2467800,2469000
2502500,2503700
2544500,2545200
2556900,2564000
2638000,2664400
2679100,2688900
2717700,2733100
2745000,2753600
2760200,2763200
2774900,2778700
2786900,2790200
2793300,2795800
2798700,2802400
2804700,2809800
2818700,2822200
2834800,2837500
2852300,2853700
2886100,2889500
2914400,2915400
2919300,2920500
2956500,2970200
3007000,3016200
3018500,3021900
3024900,3028600
3033100,3036400
3084000,3089300
3103200,3111100
3182200,3186500
3195800,3199800
3276300,3279400
3319800,3324700
3328100,3334800
3350000,3353700
3369500,3371400
3394700,3397600
3426000,3428700
3549700,3573500
